,id,title,all
0,19995,Avatar,james cameron sam worthington zoe saldana sigourney weaver stephen lang action adventure fantasy science fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d
1,285,Pirates of the Caribbean: At World's End,gore verbinski johnny depp orlando bloom keira knightley stellan skarsgård adventure fantasy action ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger
2,206647,Spectre,sam mendes daniel craig christoph waltz léa seydoux ralph fiennes action adventure crime spy based on novel secret agent sequel mi6 british secret service united kingdom
3,49026,The Dark Knight Rises,christopher nolan christian bale michael caine gary oldman anne hathaway action crime drama thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman
4,49529,John Carter,andrew stanton taylor kitsch lynn collins samantha morton willem dafoe action adventure science fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d
5,559,Spider-Man 3,sam raimi tobey maguire kirsten dunst james franco thomas haden church fantasy action adventure dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge
6,38757,Tangled,byron howard zachary levi mandy moore donna murphy ron perlman animation family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick
7,99861,Avengers: Age of Ultron,joss whedon robert downey jr. chris hemsworth mark ruffalo chris evans action adventure science fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d
8,767,Harry Potter and the Half-Blood Prince,david yates daniel radcliffe rupert grint emma watson tom felton adventure fantasy family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf
9,209112,Batman v Superman: Dawn of Justice,zack snyder ben affleck henry cavill gal gadot amy adams action adventure fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe
10,1452,Superman Returns,bryan singer brandon routh kevin spacey kate bosworth james marsden adventure fantasy action science fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor
11,10764,Quantum of Solace,marc forster daniel craig olga kurylenko mathieu amalric judi dench adventure action thriller crime killing undercover secret agent british secret service
12,58,Pirates of the Caribbean: Dead Man's Chest,gore verbinski johnny depp orlando bloom keira knightley stellan skarsgård adventure fantasy action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger
13,57201,The Lone Ranger,gore verbinski johnny depp armie hammer william fichtner helena bonham carter action adventure western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto
14,49521,Man of Steel,zack snyder henry cavill amy adams michael shannon kevin costner action adventure fantasy science fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe
15,2454,The Chronicles of Narnia: Prince Caspian,andrew adamson ben barnes william moseley anna popplewell skandar keynes adventure family fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world
16,24428,The Avengers,joss whedon robert downey jr. chris evans mark ruffalo chris hemsworth science fiction action adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe
17,1865,Pirates of the Caribbean: On Stranger Tides,rob marshall johnny depp penélope cruz ian mcshane kevin mcnally adventure action fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d
18,41154,Men in Black 3,barry sonnenfeld will smith tommy lee jones josh brolin michael stuhlbarg action comedy science fiction time travel time machine alien fictional government agency seeing the future changing history
19,122917,The Hobbit: The Battle of the Five Armies,peter jackson martin freeman ian mckellen richard armitage ken stott action adventure fantasy corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery
20,1930,The Amazing Spider-Man,marc webb andrew garfield emma stone rhys ifans denis leary action adventure fantasy loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger
21,20662,Robin Hood,ridley scott russell crowe cate blanchett max von sydow william hurt action adventure robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england
22,57158,The Hobbit: The Desolation of Smaug,peter jackson martin freeman ian mckellen richard armitage ken stott adventure fantasy elves dwarves orcs hobbit dragon wizard sword and sorcery
23,2268,The Golden Compass,chris weitz dakota blue richards nicole kidman daniel craig sam elliott adventure fantasy england compass experiment lordship uncle polar bear orphan animal based on young adult novel
24,254,King Kong,peter jackson naomi watts jack black adrien brody thomas kretschmann adventure drama action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur
25,597,Titanic,james cameron kate winslet leonardo dicaprio frances fisher billy zane drama romance thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s
26,271110,Captain America: Civil War,anthony russo chris evans robert downey jr. scarlett johansson sebastian stan adventure action science fiction civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d
27,44833,Battleship,peter berg taylor kitsch alexander skarsgård rihanna brooklyn decker thriller action adventure science fiction fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri
28,135397,Jurassic World,colin trevorrow chris pratt bryce dallas howard irrfan khan vincent d'onofrio action adventure science fiction thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror
29,37724,Skyfall,sam mendes daniel craig judi dench javier bardem ralph fiennes action adventure thriller spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao
30,558,Spider-Man 2,sam raimi tobey maguire kirsten dunst james franco alfred molina action adventure fantasy dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain
31,68721,Iron Man 3,shane black robert downey jr. gwyneth paltrow don cheadle guy pearce action adventure science fiction terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis
32,12155,Alice in Wonderland,tim burton mia wasikowska johnny depp anne hathaway helena bonham carter family fantasy adventure based on novel fictional place queen fantasy alice in wonderland fantasy world 3d
33,36668,X-Men: The Last Stand,brett ratner hugh jackman halle berry ian mckellen patrick stewart adventure action science fiction thriller mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger
34,62211,Monsters University,dan scanlon billy crystal john goodman steve buscemi helen mirren animation family monster dormitory games animation best friend university scary aftercreditsstinger
35,8373,Transformers: Revenge of the Fallen,michael bay shia labeouf megan fox josh duhamel rainn wilson science fiction action adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger
36,91314,Transformers: Age of Extinction,michael bay mark wahlberg stanley tucci kelsey grammer nicola peltz science fiction action adventure sequel alien transformers giant robot robot imax transforming robot
37,68728,Oz: The Great and Powerful,sam raimi james franco mila kunis rachel weisz michelle williams fantasy adventure family circus witch magic hope illusion lost magic trick wizard 3d
38,102382,The Amazing Spider-Man 2,marc webb andrew garfield emma stone jamie foxx dane dehaan action adventure fantasy obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers
39,20526,TRON: Legacy,joseph kosinski garrett hedlund jeff bridges olivia wilde bruce boxleitner adventure action science fiction artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy
40,49013,Cars 2,john lasseter owen wilson larry the cable guy michael caine emily mortimer animation family adventure comedy car race sequel comedy anthropomorphism best friend duringcreditsstinger
41,44912,Green Lantern,martin campbell ryan reynolds blake lively peter sarsgaard tim robbins adventure action thriller science fiction dc comics transformation superhero alien alien infection magical object protector super powers origin 3d
42,10193,Toy Story 3,lee unkrich tom hanks tim allen ned beatty joan cusack animation family comedy hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story
43,534,Terminator Salvation,mcg christian bale sam worthington anton yelchin moon bloodgood action science fiction thriller saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles
44,168259,Furious 7,james wan vin diesel paul walker dwayne johnson michelle rodriguez action car race speed revenge suspense car race muscle car
45,72190,World War Z,marc forster brad pitt mireille enos abigail hargrove sterling jerins action drama horror science fiction thriller dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse
46,127585,X-Men: Days of Future Past,bryan singer hugh jackman james mcavoy michael fassbender jennifer lawrence action adventure fantasy science fiction 1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future
47,54138,Star Trek Into Darkness,j.j. abrams chris pine zachary quinto zoe saldana karl urban action adventure science fiction spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d
48,81005,Jack the Giant Slayer,bryan singer nicholas hoult eleanor tomlinson ewan mcgregor stanley tucci action family fantasy based on fairy tale giant
49,64682,The Great Gatsby,baz luhrmann leonardo dicaprio tobey maguire carey mulligan joel edgerton drama romance based on novel infidelity obsession hope 3d
50,9543,Prince of Persia: The Sands of Time,mike newell jake gyllenhaal gemma arterton ben kingsley alfred molina adventure fantasy action romance persia sandstorm brother against brother armageddon regent based on video game
51,68726,Pacific Rim,guillermo del toro idris elba charlie hunnam charlie day ron perlman action science fiction adventure dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d
52,38356,Transformers: Dark of the Moon,michael bay shia labeouf john malkovich ken jeong frances mcdormand action science fiction adventure moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger
53,217,Indiana Jones and the Kingdom of the Crystal Skull,steven spielberg harrison ford cate blanchett shia labeouf ray winstone adventure action saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology 
54,105864,The Good Dinosaur,peter sohn raymond ochoa jack bright jeffrey wright frances mcdormand adventure animation family tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey
55,62177,Brave,brenda chapman kelly macdonald julie walters billy connolly emma thompson animation adventure comedy family action fantasy scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d
56,188927,Star Trek Beyond,justin lin chris pine zachary quinto karl urban simon pegg action adventure science fiction sequel stranded hatred space opera
57,10681,WALL·E,andrew stanton ben burtt elissa knight jeff garlin fred willard animation family romantic comedy
58,5174,Rush Hour 3,brett ratner chris tucker jackie chan hiroyuki sanada max von sydow action comedy crime thriller ambassador
59,14161,2012,roland emmerich john cusack amanda peet chiwetel ejiofor thandie newton action adventure science fiction civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction  of mankind
60,17979,A Christmas Carol,robert zemeckis gary oldman jim carrey steve valentine daryl sabara animation drama holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas
61,76757,Jupiter Ascending,lilly wachowski mila kunis channing tatum sean bean eddie redmayne science fiction fantasy action adventure jupiter space woman director 3d interspecies romance
62,258489,The Legend of Tarzan,david yates alexander skarsgård margot robbie christoph waltz samuel l. jackson action adventure africa feral child tarzan jungle animal attack
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",andrew adamson william moseley anna popplewell skandar keynes georgie henley adventure family fantasy saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairy-tale figure battle narnia fantasy world duringcreditsstinger
64,246655,X-Men: Apocalypse,bryan singer james mcavoy michael fassbender jennifer lawrence nicholas hoult science fiction mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s
65,155,The Dark Knight,christopher nolan christian bale heath ledger aaron eckhart michael caine drama action crime thriller dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman
66,14160,Up,pete docter ed asner christopher plummer jordan nagai bob peterson animation comedy family adventure age difference central and south america balloon animation floating in the air duringcreditsstinger exploring
67,15512,Monsters vs Aliens,conrad vernon seth rogen reese witherspoon hugh laurie paul rudd animation family adventure science fiction alien giant robot duringcreditsstinger
68,1726,Iron Man,jon favreau robert downey jr. terrence howard jeff bridges shaun toub action science fiction adventure middle east arms dealer malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson
69,44826,Hugo,martin scorsese ben kingsley sacha baron cohen asa butterfield chloë grace moretz adventure drama family library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d
70,8487,Wild Wild West,barry sonnenfeld will smith kevin kline kenneth branagh salma hayek action adventure comedy science fiction western steampunk based on tv series steam locomotive drag
71,1735,The Mummy: Tomb of the Dragon Emperor,rob cohen brendan fraser jet li john hannah maria bello adventure action fantasy 
72,297761,Suicide Squad,david ayer will smith margot robbie joel kinnaman viola davis action adventure crime fantasy science fiction dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe
73,2698,Evan Almighty,tom shadyac steve carell lauren graham john goodman jimmy bennett fantasy comedy family father son relationship daily life married couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah's ark
74,137113,Edge of Tomorrow,doug liman tom cruise emily blunt brendan gleeson bill paxton action science fiction deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton
75,9804,Waterworld,kevin reynolds kevin costner chaim girafi rick aviles r. d. call adventure action ocean tattoo mutant water dystopia doomsday
76,14869,G.I. Joe: The Rise of Cobra,stephen sommers dennis quaid channing tatum marlon wayans sienna miller adventure action thriller science fiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra
77,150540,Inside Out,pete docter amy poehler phyllis smith richard kind bill hader drama comedy animation family dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger 3d emotions
78,278927,The Jungle Book,jon favreau neel sethi bill murray ben kingsley idris elba family adventure drama fantasy based on novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking to animals
79,10138,Iron Man 2,jon favreau robert downey jr. gwyneth paltrow don cheadle scarlett johansson adventure action science fiction malibu marvel comic superhero based on comic book revenge aftercreditsstinger marvel cinematic universe
80,58595,Snow White and the Huntsman,rupert sanders kristen stewart charlize theron chris hemsworth sam claflin adventure fantasy drama queen magic fairy tale immortality forest deception woman eternal youth snow white evil queen evil stepmother imprisoned sorceress
81,102651,Maleficent,robert stromberg angelina jolie elle fanning sharlto copley sam riley fantasy adventure action family romance fairy tale villain sleeping beauty dark fantasy based on fairy tale adaptation retelling literary adaptation 3d
82,119450,Dawn of the Planet of the Apes,matt reeves andy serkis jason clarke gary oldman keri russell science fiction action drama thriller leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medical research animal attack plague 3d
83,79698,The Lovers,roland joffé josh hartnett simone kessell tamsin egerton alice englert action adventure science fiction romance 
84,64686,47 Ronin,carl rinsch keanu reeves hiroyuki sanada kou shibasaki tadanobu asano drama action adventure fantasy japan suicide samurai based on true story samurai sword ronin shogun half breed 3d
85,100402,Captain America: The Winter Soldier,anthony russo chris evans samuel l. jackson scarlett johansson robert redford action adventure science fiction washington d.c. future shield marvel comic superhero based on comic book captain america aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d political thriller
86,10192,Shrek Forever After,mike mitchell mike myers eddie murphy cameron diaz antonio banderas comedy adventure fantasy animation family ogre 3d
87,158852,Tomorrowland,brad bird britt robertson george clooney raffey cassidy thomas robinson adventure family mystery science fiction inventor apocalypse destiny imax dreamer futuristic car futuristic city
88,177572,Big Hero 6,chris williams scott adsit ryan potter daniel henney t.j. miller adventure family animation action comedy brother brother relationship hero talent revenge best friend another dimension robot boy genius hate aftercreditsstinger moral dilemma 3d teen superheroes dead brother
89,82690,Wreck-It Ralph,rich moore john c. reilly sarah silverman jack mcbrayer jane lynch family animation comedy adventure support group product placement bullying racing arcade medal self esteem curiosity precocious child aftercreditsstinger duringcreditsstinger first person shooter glitch carefree video gamer q*bert interrupted wedding social reject
90,5255,The Polar Express,robert zemeckis tom hanks michael jeter nona gaye peter scolari adventure animation family fantasy santa claus nerd faith gift bell beard north pole chute trestle ticket christmas
91,47933,Independence Day: Resurgence,roland emmerich liam hemsworth jeff goldblum bill pullman maika monroe action adventure science fiction alternate history alien invasion
92,10191,How to Train Your Dragon,chris sanders jay baruchel gerard butler craig ferguson america ferrera fantasy adventure animation family flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior
93,296,Terminator 3: Rise of the Machines,jonathan mostow arnold schwarzenegger nick stahl claire danes kristanna loken action thriller science fiction saving the world artificial intelligence man vs machine cyborg killer robot sun glasses leather jacket nanotechnology rocket launcher firemen veterinarian fire engine dystopia psychiatrist
94,118340,Guardians of the Galaxy,james gunn chris pratt zoe saldana dave bautista vin diesel action science fiction adventure marvel comic spaceship space outer space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe
95,157336,Interstellar,christopher nolan matthew mcconaughey jessica chastain anne hathaway michael caine adventure drama science fiction saving the world artificial intelligence father son relationship single parent nasa expedition wormhole space travel famine black hole dystopia race against time quantum mechanics spaceship space rescue family relationships farmhouse robot astronaut scientist father daughter relationship single father farmer space station imax astrophysics zero gravity courage time paradox relativity
96,27205,Inception,christopher nolan leonardo dicaprio joseph gordon-levitt ellen page tom hardy action thriller science fiction mystery adventure loss of lover dream kidnapping sleep subconsciousness heist redemption female hero
97,315011,Shin Godzilla,hideaki anno hiroki hasegawa yutaka takenouchi satomi ishihara kengo kora action adventure drama horror science fiction monster godzilla giant monster destruction kaiju toyko
98,49051,The Hobbit: An Unexpected Journey,peter jackson ian mckellen martin freeman richard armitage andy serkis adventure fantasy action riddle elves dwarves orcs middle-earth (tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel underground lake buried treasure climbing a tree invisibility ancient gnomes
99,9799,The Fast and the Furious,rob cohen paul walker vin diesel michelle rodriguez jordana brewster action crime thriller street gang car race undercover auto-tuning los angeles car automobile racing aftercreditsstinger duringcreditsstinger
100,4922,The Curious Case of Benjamin Button,david fincher cate blanchett brad pitt tilda swinton julia ormond fantasy drama thriller mystery romance diary navy funeral tea travel hospital
101,49538,X-Men: First Class,matthew vaughn james mcavoy michael fassbender jennifer lawrence kevin bacon action science fiction adventure cia mutant mine marvel comic superhero based on comic book superhuman historical fiction nuclear war cuban missile crisis world war iii 1960s
102,131634,The Hunger Games: Mockingjay - Part 2,francis lawrence jennifer lawrence josh hutcherson liam hemsworth woody harrelson action adventure science fiction revolution strong woman dystopia game of death 3d based on young adult novel
103,27022,The Sorcerer's Apprentice,jon turteltaub nicolas cage jay baruchel monica bellucci alfred molina fantasy adventure action comedy drama witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana
